,num. of creatures,num. of foods
0,5,0
1,5,20
2,4,28
3,3,53
4,2,74
5,2,89
6,2,103
7,2,114
8,3,128
9,3,148
10,3,159
11,4,179
12,5,191
13,8,197
14,12,197
15,11,202
16,13,205
17,16,209
18,20,199
19,21,190
20,25,176
21,29,165
22,33,151
23,34,129
24,32,118
25,22,116
26,20,120
27,22,115
28,19,122
29,14,117
30,18,113
31,15,109
32,17,106
33,21,102
34,24,88
35,19,105
36,14,112
37,15,122
38,11,125
39,9,130
40,12,124
41,16,126
42,12,123
43,12,121
44,13,125
45,11,122
46,11,132
47,10,129
48,12,128
49,12,138
50,11,147
51,10,147
52,12,154
53,11,158
54,12,159
55,11,165
56,9,171
57,13,162
58,13,165
59,14,167
60,20,155
61,21,142
62,19,135
63,13,137
64,13,136
65,15,134
66,12,141
67,13,137
68,11,145
69,14,137
70,18,128
71,17,119
72,21,100
73,22,95
74,18,96
75,16,96
76,14,103
77,13,101
78,11,113
79,10,114
80,10,128
81,8,136
82,10,139
83,10,141
84,11,148
85,10,149
86,11,155
87,8,161
88,8,165
89,6,171
90,9,167
91,9,172
92,11,176
93,12,174
94,11,184
95,12,192
96,10,198
97,13,190
98,15,192
99,14,202
100,13,200
