,num. of creatures,num. of foods
0,5,0
1,5,20
2,5,27
3,5,43
4,3,58
5,2,72
6,2,85
7,2,103
8,2,113
9,2,133
10,2,156
11,1,171
12,1,193
13,1,210
14,1,227
15,1,240
16,1,268
17,1,287
18,2,299
19,2,314
20,3,324
21,3,342
22,3,353
23,3,367
24,4,379
25,4,395
26,4,406
27,3,423
28,2,441
29,6,447
30,9,454
31,11,461
32,14,463
33,14,467
34,18,463
35,24,447
36,33,435
37,41,406
38,48,370
39,70,289
40,74,241
41,76,199
42,67,179
43,58,150
44,50,129
45,49,94
46,42,86
47,35,77
48,28,82
49,19,92
50,17,90
51,16,88
52,15,99
53,13,100
54,13,102
55,12,112
56,9,122
57,8,136
58,10,146
59,12,156
60,11,160
61,12,162
62,11,170
63,16,171
64,13,170
65,19,162
66,22,157
67,24,153
68,27,140
69,29,126
70,27,110
71,28,104
72,31,96
73,30,80
74,26,73
75,28,74
76,25,76
77,23,83
78,22,76
79,19,80
80,19,84
81,17,87
82,19,94
83,18,97
84,16,106
85,14,112
86,14,113
87,14,117
88,14,115
89,14,120
90,15,127
91,15,132
92,17,134
93,19,138
94,20,139
95,18,151
96,18,143
97,21,134
98,23,126
99,26,120
100,28,109
