,num. of creatures,num. of foods
0,5,0
1,5,16
2,3,38
3,2,53
4,2,67
5,2,81
6,2,95
7,2,110
8,3,131
9,3,150
10,3,173
11,3,186
12,3,207
13,2,225
14,2,235
15,2,251
16,4,265
17,4,275
18,4,290
19,5,310
20,5,324
21,7,344
22,8,351
23,9,360
24,13,360
25,14,360
26,16,373
27,17,376
28,23,373
29,28,357
30,28,342
31,34,331
32,34,321
33,35,300
34,48,263
35,52,225
36,57,201
37,54,166
38,51,134
39,44,124
40,42,109
41,42,96
42,35,89
43,35,79
44,36,80
45,27,86
46,17,97
47,10,105
48,8,114
49,10,119
50,11,126
51,11,131
52,13,134
53,13,136
54,13,139
55,16,140
56,17,137
57,18,144
58,17,150
59,15,160
60,11,174
61,14,178
62,14,183
63,15,188
64,19,178
65,19,179
66,19,181
67,18,184
68,16,181
69,12,191
70,14,200
71,14,198
72,14,203
73,13,204
74,18,198
75,21,192
76,22,185
77,30,167
78,33,158
79,32,143
80,35,115
81,34,117
82,34,105
83,33,106
84,25,99
85,28,100
86,22,98
87,20,101
88,18,95
89,21,98
90,21,93
91,19,90
92,18,98
93,15,104
94,13,110
95,17,107
96,16,111
97,14,116
98,10,127
99,8,133
100,8,148
