,num. of creatures,num. of foods
0,5,0
1,5,9
2,2,30
3,1,54
4,1,65
5,1,80
6,1,104
7,1,119
8,1,138
9,1,148
10,2,163
11,3,175
12,3,187
13,3,202
14,3,215
15,3,234
16,2,253
17,3,260
18,4,280
19,5,292
20,6,309
21,7,316
22,8,324
23,8,330
24,8,342
25,9,350
26,14,348
27,15,354
28,18,361
29,19,360
30,15,371
31,15,381
32,17,373
33,19,376
34,26,368
35,28,362
36,31,366
37,30,359
38,39,331
39,41,325
40,38,321
41,37,319
42,39,306
43,43,283
44,54,253
45,54,236
46,57,207
47,54,191
48,50,158
49,52,141
50,51,118
51,53,100
52,48,105
53,41,105
54,33,117
55,25,118
56,17,130
57,14,138
58,13,144
59,14,154
60,13,166
61,14,176
62,17,174
63,17,177
64,15,178
65,15,189
66,14,205
67,12,212
68,12,222
69,13,229
70,11,241
71,10,256
72,12,256
73,12,265
74,13,270
75,18,271
76,23,261
77,30,252
78,39,225
79,44,206
80,44,197
81,43,178
82,45,156
83,41,140
84,47,103
85,50,96
86,47,87
87,39,82
88,32,78
89,33,78
90,30,84
91,27,78
92,22,77
93,21,85
94,18,98
95,16,109
96,20,107
97,20,114
98,20,115
99,21,114
100,23,108
