,num. of creatures,num. of foods
0,5,0
1,5,13
2,4,30
3,3,56
4,3,74
5,2,83
6,2,101
7,2,110
8,3,117
9,3,128
10,4,138
11,4,160
12,3,178
13,4,193
14,4,206
15,5,227
16,6,241
17,9,251
18,10,249
19,15,250
20,16,243
21,20,230
22,20,232
23,21,233
24,17,224
25,16,222
26,22,205
27,24,201
28,26,183
29,35,150
30,36,138
31,36,113
32,34,102
33,35,86
34,28,76
35,17,85
36,7,100
37,5,111
38,6,115
39,8,123
40,6,134
41,7,142
42,7,144
43,10,146
44,11,155
45,8,162
46,8,175
47,9,183
48,8,183
49,13,175
50,15,178
51,19,165
52,22,137
53,28,115
54,26,108
55,22,110
56,15,112
57,15,104
58,16,106
59,13,112
60,15,118
61,13,112
62,12,109
63,11,109
64,12,117
65,11,122
66,13,121
67,15,123
68,14,114
69,19,108
70,20,96
71,17,82
72,17,74
73,16,71
74,16,68
75,11,70
76,10,74
77,7,76
78,10,89
79,9,92
80,8,99
81,7,110
82,4,129
83,3,141
84,4,161
85,5,176
86,5,189
87,6,204
88,6,216
89,4,226
90,4,237
91,5,246
92,7,248
93,6,258
94,5,271
95,4,285
96,5,297
97,5,294
98,6,294
99,10,294
100,16,288
