,num. of creatures,num. of foods
0,5,0
1,5,12
2,3,35
3,3,56
4,3,69
5,3,85
6,1,107
7,1,123
8,1,143
9,1,162
10,1,174
11,2,191
12,3,206
13,2,220
14,2,231
15,3,242
16,5,252
17,5,248
18,10,246
19,14,235
20,22,209
21,23,184
22,31,154
23,30,122
24,27,99
25,16,95
26,17,80
27,13,86
28,8,94
29,5,110
30,5,113
31,8,114
32,7,123
33,8,127
34,8,136
35,8,142
36,7,138
37,11,136
38,12,130
39,11,132
40,7,132
41,7,147
42,8,154
43,6,161
44,12,148
45,15,135
46,15,121
47,9,116
48,13,104
49,12,102
50,8,95
51,9,96
52,8,102
53,7,102
54,9,107
55,7,114
56,8,113
57,8,110
58,6,126
59,4,134
60,4,140
61,4,150
62,5,156
63,6,163
64,6,171
65,5,182
66,8,177
67,8,176
68,8,172
69,9,156
70,11,150
71,12,137
72,16,109
73,16,95
74,14,90
75,10,84
76,9,86
77,9,88
78,11,79
79,13,76
80,9,78
81,7,89
82,6,96
83,5,111
84,4,118
85,4,138
86,5,141
87,6,148
88,3,160
89,5,170
90,8,169
91,5,182
92,6,173
93,8,170
94,8,166
95,7,167
96,7,178
97,8,177
98,11,177
99,13,166
100,17,153
