,num. of creatures,num. of foods
0,5,0
1,5,12
2,4,20
3,3,33
4,3,46
5,3,65
6,3,80
7,3,96
8,3,114
9,3,123
10,3,136
11,3,146
12,3,167
13,4,177
14,4,192
15,5,199
16,6,217
17,6,232
18,7,249
19,7,259
20,5,273
21,7,282
22,9,294
23,10,306
24,14,311
25,20,305
26,20,301
27,19,301
28,24,299
29,27,283
30,27,290
31,23,296
32,21,299
33,22,293
34,24,282
35,30,270
36,39,236
37,52,193
38,61,145
39,70,104
40,67,75
41,58,63
42,53,42
43,37,51
44,30,58
45,28,66
46,23,68
47,21,69
48,20,77
49,12,88
50,11,99
51,12,104
52,11,113
53,10,127
54,10,135
55,12,143
56,14,148
57,12,158
58,13,171
59,15,181
60,16,187
61,19,185
62,19,184
63,20,194
64,24,186
65,25,181
66,27,173
67,32,177
68,31,173
69,28,171
70,27,172
71,30,155
72,34,146
73,40,139
74,48,118
75,49,113
76,41,117
77,41,103
78,43,100
79,39,101
80,36,100
81,32,105
82,34,101
83,35,92
84,33,89
85,31,99
86,30,94
87,31,78
88,30,76
89,29,81
90,28,85
91,25,82
92,29,88
93,27,88
94,25,101
95,23,106
96,20,117
97,18,124
98,18,129
99,19,130
100,20,134
