,num. of creatures,num. of foods
0,5,0
1,5,11
2,3,28
3,3,48
4,3,63
5,2,80
6,2,100
7,2,122
8,2,144
9,2,153
10,4,165
11,5,180
12,7,193
13,6,212
14,5,228
15,6,232
16,7,250
17,8,269
18,10,276
19,11,289
20,15,290
21,15,296
22,15,308
23,17,315
24,19,319
25,21,328
26,22,335
27,26,340
28,31,341
29,32,334
30,35,319
31,39,302
32,46,287
33,47,276
34,53,255
35,64,238
36,56,227
37,62,210
38,67,187
39,60,183
40,62,176
41,70,156
42,71,134
43,75,107
44,73,74
45,78,59
46,78,54
47,70,62
48,62,70
49,56,71
50,50,74
51,45,84
52,43,87
53,42,80
54,45,78
55,48,66
56,49,61
57,47,60
58,44,64
59,45,71
60,41,68
61,41,65
62,44,56
63,45,55
64,43,62
65,42,62
66,39,66
67,35,77
68,36,84
69,34,78
70,30,82
71,29,87
72,31,90
73,36,91
74,37,86
75,34,92
76,36,97
77,33,105
78,34,97
79,35,101
80,36,107
81,38,112
82,41,108
83,38,108
84,37,111
85,41,106
86,40,108
87,41,107
88,44,103
89,46,101
90,49,86
91,48,87
92,47,84
93,46,84
94,49,82
95,45,77
96,47,74
97,46,77
98,45,79
99,41,76
100,40,87
